y,score
0,0.23774667760786264
1,0.6494203554845108
0,0.10432063951081967
0,0.5127607827732018
0,0.33007253520124835
1,0.5509536743309227
0,0.07287195330242924
1,0.8904799967354806
1,0.5990665175902599
0,0.4117711572213361
0,0.05042365453686024
0,0.5504571489069481
1,0.9985807130652369
1,0.8229934477933918
0,0.05518718319421096
0,0.48533232509292606
1,0.9711403305120576
1,0.9620658627669669
0,0.4346585082784236
0,0.2296376631403546
0,0.21236595160387198
0,0.16498906141454525
0,0.08917884544126435
0,0.3701862986942445
0,0.29933496599789944
0,0.28741855797609267
1,0.6915076380120069
0,0.3855915153830611
0,0.14948865308204762
0,0.3261940097578447
1,0.6912490419369778
0,0.2878106633328697
0,0.20642047187392565
0,0.19296265120080683
1,0.5130314838844448
0,0.01758207632198081
0,0.16855959918465263
0,0.28301063118621234
1,0.7919944599256133
1,0.5798124041413304
1,0.6205763975774012
0,0.47474232726064086
0,0.4584298342305066
0,0.34541526517199755
0,0.23305351296724952
0,0.5949251525635461
1,0.6182755663712305
1,0.8690525505603349
1,0.7957812474228686
0,0.21100928908985286
0,0.08526137424905096
0,0.5020181044400015
0,0.5822326250026825
0,0.10533406059639046
1,0.5280839884006356
0,0.01195679393313156
0,0.19904039614452204
0,0.48386724798600167
1,0.5887299363269686
0,0.520930258886168
1,0.5738560094930574
0,0.08499159861072822
1,0.7631474392886067
1,0.5362658030300989
0,0.3972837316793004
0,0.20193664268448266
1,0.9879303356912131
0,0.26212102975774937
0,0.2923200114779782
1,0.853591460618164
0,0.5337601300873392
0,0.2140953282560581
0,0.4886725418657882
1,0.8669974866826029
1,0.5888541442484816
1,0.851004224079468
0,0.510454179321005
0,0.3404896528976384
1,0.6591084559300475
0,0.3668286914567437
0,0.06246613980839155
0,0.19870105569963153
1,0.6734050623416142
1,0.8180933851201841
0,0.4929970832569859
0,0.4375715682803996
1,0.505697810147749
1,0.8465880381606324
1,0.8935100030453302
0,0.028888474639968995
0,0.2517919375111244
1,0.7070095818232074
0,0.21073870157908184
1,0.9144034887831257
0,0.34683329455987905
0,0.13534963650698886
0,0.47951673945380363
1,0.510038999165285
1,0.5523625242494061
1,0.9439656338671516
1,0.5375012105220789
0,0.5868249137391359
1,0.9926380500705716
0,0.4227027879550749
0,0.3921811051592105
0,0.26052023093597787
1,0.6655472897199931
0,0.24556791945038747
0,0.5553441601841479
0,0.3963587356277841
1,0.5479579607011208
1,0.774831316768581
0,0.03270291102303082
1,0.543814179653486
0,0.3750545722255805
0,0.05819213848889928
1,0.8190953295372854
0,0.2841423906852412
1,0.8924382865334576
0,0.5369264900432827
1,0.8209331912701057
1,0.6855102624203737
1,0.5932914705789658
1,0.7198702114263846
1,0.9185393760672286
0,0.09067840465412347
0,0.058021572615387915
0,0.48490809444240773
0,0.4538741316932131
1,0.5304918730288638
1,0.7612911366620364
0,0.4122407594333321
0,0.34362857437873123
1,0.6494260545036012
1,0.9269699108388487
1,0.7856099676357771
0,0.342891243148751
0,0.08846859240657923
0,0.2694238417128278
0,0.10029887246563227
1,0.5963630420200006
1,0.5391842610697446
0,0.12115156798334067
0,0.08872695044029406
0,0.19184969325723267
0,0.48440620184099054
1,0.7781821019848995
0,0.513974508387748
0,0.5502971464699488
1,0.8502060607934665
0,0.4690113965552769
1,0.5748211597956707
0,0.3496062521265926
0,0.06012239869651865
1,0.889772348482126
0,0.5204851606591052
0,0.5267361376176328
1,0.8273938353567749
0,0.2838279695993617
1,0.7014869792157883
0,0.40848771792796806
0,0.23747564653861908
0,0.41430825250258724
1,0.7376090955765358
1,0.6862203479566905
1,0.8968260299528201
1,0.9214232843057036
0,0.4109112162808361
0,0.1367744481610604
1,0.8718618208285815
0,0.19252098919191943
0,0.3629874794731504
1,0.7208582990295831
0,0.2443022165042674
0,0.30990085095400643
1,0.5281029102030013
0,0.03937018056715915
0,0.24203108460746622
0,0.31457173025309704
0,0.1042424136076723
0,0.12043606566031281
1,0.5165355222539927
1,0.680187540891148
1,0.6841759637873854
0,0.2381653665098986
0,0.40870461626602644
1,0.7443933695332839
0,0.5763122269681726
0,0.33080023236465406
1,0.9188268851283636
1,0.9154351006777977
1,0.5137252449488852
1,0.9269106632927733
0,0.12859115238686436
1,0.6125560204598876
1,0.8257936664279818
0,0.5187779580666289
0,0.40931983892126966
0,0.07938845447020923
1,0.9004324041622271
