group,value
A,0.9474999899958524
A,-0.06034060108934057
A,0.22086720548370212
A,0.1103284106234992
A,0.6209018308796919
A,0.5487124340215701
A,0.45435410047875047
A,1.2473277527622495
A,0.029198850431648975
A,-0.298233230589992
A,0.6524543848411645
A,0.12312693649334439
A,0.9548749604128361
A,1.8494644234031214
A,-0.17730012809497506
A,-0.8938918153180898
A,-0.5907541536684939
A,-0.21061120981454123
A,1.906415449124024
A,0.25901561465204886
A,0.17437715029519368
A,-0.10966829825339373
A,-0.42964819380272784
A,-0.876357274375297
A,0.11297152396490127
A,-0.47168188760703095
A,0.7853512967959809
A,-0.33334441713293633
A,0.11263001123246093
A,1.817523660818489
A,-1.2639438209385632
A,-2.0170206893022775
A,3.4490002947352343
A,-0.49967163242485074
A,1.5110079088398813
A,-1.3894933140949086
A,0.5120857671906447
A,0.22304292840578405
A,1.5817053985985494
A,-0.8165199895881403
A,0.3492578834689699
A,0.910097859585943
A,-0.9521555292333761
A,0.9611078994183262
A,0.7411016511497918
A,-0.10793863238333654
A,1.3257338506610028
A,0.39598117269035027
A,0.4623460612187655
A,1.1487764169967032
A,0.21936921370745247
A,-0.8636669896514502
A,1.683137860988718
A,0.5852490241285283
A,1.3622416340969117
A,-1.3995263147774062
A,2.042347105632951
A,-0.41112873912841685
A,0.10439585635705191
A,0.39865685508596577
A,-1.4509200240681106
A,0.2704781153222643
A,1.094412359384501
A,0.47255837118410093
A,0.011829229916608846
A,-1.4392839427486237
A,-1.1730671733134628
A,-0.06757836188254124
A,-0.8591838057305043
A,0.1962078137194373
A,-1.0812625930780886
A,1.0966063729016948
A,-0.25025817927834565
A,-1.1414644324986056
A,-0.11636748518766896
A,1.0056171802666216
A,1.1653067909712151
A,-0.6293779243357788
A,0.685526213678397
A,0.16050619243650283
B,1.0804639554403577
B,2.4081583311443255
B,-0.17832094074496418
B,1.020042845468402
B,1.4961843148980245
B,-0.33781920573329005
B,1.3896483753531994
B,0.11832133732399092
B,-0.010257932700387995
B,0.3322484518960152
B,1.4366898142962607
B,1.04626428502608
B,-0.28901007908467513
B,1.5636830020813528
B,-0.8601624718591159
B,0.8017619342040205
B,-0.5038715171778549
B,1.0027705798482076
B,-1.0191073833542383
B,1.4781350817884367
B,0.09871431575685258
B,1.395937616604359
B,0.8125317320248551
B,1.1594868841383472
B,-0.07646821400972914
B,-0.24660969238291897
B,2.170875939234428
B,1.4519173003918582
B,-0.9319244245823259
B,0.3846704597606013
B,1.010812851275661
B,-1.7277554198294518
B,0.8135262434839616
B,0.7230362451500931
B,1.1493725779305388
B,0.659276478871079
B,0.794014515669923
B,1.3439473210906334
B,-0.09795124838871005
B,2.238783562683103
B,0.17512862650423228
B,-0.23222216479134217
B,-0.46974026713345185
B,-2.8888833050139238
B,2.170768296559964
B,0.48325656040605297
B,0.35896301443168743
B,-1.7021939776280575
B,1.342498283128885
B,0.54521805062306
B,1.2673028567911162
B,-1.0710329696303134
B,-0.33953339860856313
B,1.079760788181126
B,-0.7791949705289714
B,-0.20275970324104697
B,-0.6804699971216432
B,0.7098180646810212
B,0.5398422171515761
B,-0.06723870076954752
B,-0.07376327047104214
B,0.9307638561293231
B,0.49385009770181265
B,-0.6342563036810529
B,-1.2472655818140859
B,0.32568822116085583
B,0.5766473421698941
B,-1.099396286800212
B,-1.220041609432496
B,0.9255267872635803
B,0.2509865242280037
B,1.095083398874833
B,0.6951975315042994
B,-1.0349806312940313
B,0.7746852863291576
B,1.5583571916108732
B,-0.40443350282110513
B,0.15208037859203855
B,0.03679451633409969
B,0.2547138379146957
C,-0.0692549704692936
C,-0.24860431476880587
C,0.5024393848533513
C,-1.9611695318908449
C,-0.757541579075621
C,0.6807176661087211
C,-0.5991553610462859
C,-1.1346587312411003
C,0.022327735280700534
C,-1.4219810268857738
C,-0.29976072984883245
C,-0.007448490104520894
C,0.2978729550719066
C,-2.4040680659578597
C,1.204977057594974
C,1.831228791549336
C,-0.8811373255480934
C,1.0343776037061483
C,-1.29158201040178
C,-1.0249881924972826
C,1.6773580582098921
C,-2.2777051671492003
C,0.08246107874238179
C,0.7544082969656527
C,-0.8309113946545306
C,-0.3389066102312975
C,0.8074315760532325
C,0.6190038295448763
C,-2.2243357926867287
C,0.4362234707164571
C,0.19111642721310362
C,0.05953198518988462
C,-0.4413058877203435
C,-0.28330711215864685
C,-0.6329266299245432
C,-1.2741662201007278
C,-0.052980032634393714
C,0.1499032253576872
C,0.5951054697391085
C,-0.38827676780284126
C,-0.043853988977349545
C,1.2596949355928975
C,0.11128386403033635
C,-0.05357006349832549
C,-0.8098969017803714
C,-0.2713378502914038
C,0.4542481504480775
C,-0.993817619458683
C,0.06718232283455472
C,0.20417042432429744
C,-1.310885083760644
C,-0.4589829642085078
C,2.0623564949195035
C,0.8431845444654569
C,0.15064836994715608
C,-0.5942260658688757
C,0.09248188455831008
C,0.8229510249260166
C,-0.48449218052632265
C,-1.2986083946404634
C,-2.081350315077463
C,-1.6350427724987515
C,-1.2075254326431675
C,-0.817342313806144
C,-0.5195639673345936
C,-0.936385075131491
C,0.3542950905859657
C,-0.1740579836364919
C,0.7290570584111218
C,0.19492053341830745
C,0.23230415808788984
C,-1.3426301484482697
C,1.5381842874532692
C,-1.2984560313436497
C,-1.4694723694043903
C,0.12420647576357818
C,-0.2657367987568094
C,-1.0214533637509517
C,0.6094606026304255
C,-0.9506751687884916
