date,value,group
2024-01-01,0.2991813961038096,RegionA
2024-01-31,0.30204555218634943,RegionA
2024-03-01,0.36205155438421743,RegionA
2024-03-31,0.3622057309057006,RegionA
2024-04-30,0.3579225463817174,RegionA
2024-05-30,0.37429126525176365,RegionA
2024-06-29,0.4073187598301377,RegionA
2024-07-29,0.3766565465295608,RegionA
2024-08-28,0.39852354697382164,RegionA
2024-09-27,0.4286514076832683,RegionA
2024-10-27,0.42773064930895904,RegionA
2024-11-26,0.3991247923562619,RegionA
2024-12-26,0.4215558825144712,RegionA
2025-01-25,0.3618574125432487,RegionA
2025-02-24,0.394821707824742,RegionA
2025-03-26,0.3756258354165034,RegionA
2025-04-25,0.3494426288525445,RegionA
2025-05-25,0.32408931312452216,RegionA
2025-06-24,0.31816312956930265,RegionA
2025-07-24,0.28851615400905256,RegionA
2025-08-23,0.25806632498550997,RegionA
2025-09-22,0.2493793134028168,RegionA
2025-10-22,0.26228749109766186,RegionA
2025-11-21,0.24141051917561704,RegionA
2025-12-21,0.20448437745278278,RegionA
2026-01-20,0.24696486332555,RegionA
2026-02-19,0.20556170428536918,RegionA
2026-03-21,0.18202370351816738,RegionA
2026-04-20,0.2221321806392156,RegionA
2026-05-20,0.2216258414448393,RegionA
2026-06-19,0.18721646847142787,RegionA
2026-07-19,0.2051328631006753,RegionA
2026-08-18,0.2321788697013128,RegionA
2026-09-17,0.22639828838729997,RegionA
2026-10-17,0.25402201786308964,RegionA
2026-11-16,0.26000452536559676,RegionA
2024-01-01,0.2847554943256825,RegionB
2024-01-31,0.2927800974690373,RegionB
2024-03-01,0.3032947822343125,RegionB
2024-03-31,0.3058241305003816,RegionB
2024-04-30,0.3236188660869548,RegionB
2024-05-30,0.3527770980815874,RegionB
2024-06-29,0.355201654481481,RegionB
2024-07-29,0.3883391908693514,RegionB
2024-08-28,0.39086892023815334,RegionB
2024-09-27,0.39605587119535224,RegionB
2024-10-27,0.3564378773934046,RegionB
2024-11-26,0.35222893691935075,RegionB
2024-12-26,0.38346988247210423,RegionB
2025-01-25,0.3871995904179486,RegionB
2025-02-24,0.3444137557964101,RegionB
2025-03-26,0.3310170181127122,RegionB
2025-04-25,0.34374041061123595,RegionB
2025-05-25,0.28631779652684264,RegionB
2025-06-24,0.2705255773745291,RegionB
2025-07-24,0.25841710827503916,RegionB
2025-08-23,0.23861991388084905,RegionB
2025-09-22,0.2016765775992701,RegionB
2025-10-22,0.2095713322278364,RegionB
2025-11-21,0.20777653395927445,RegionB
2025-12-21,0.20421520899622767,RegionB
2026-01-20,0.19697022011603355,RegionB
2026-02-19,0.16301978538313344,RegionB
2026-03-21,0.17678050072105592,RegionB
2026-04-20,0.18411046291654612,RegionB
2026-05-20,0.19802719268036234,RegionB
2026-06-19,0.14796085321613017,RegionB
2026-07-19,0.16206573373578398,RegionB
2026-08-18,0.18212284933679074,RegionB
2026-09-17,0.19388861933259408,RegionB
2026-10-17,0.22000770783342813,RegionB
2026-11-16,0.21150204873232334,RegionB
