wavelength,reflectance,class
400,-0.34680000664506994,Forest
403,-0.3341927970020111,Forest
406,-0.321773284257555,Forest
409,-0.3095386739689391,Forest
412,-0.2974862132972329,Forest
415,-0.285613190387939,Forest
418,-0.2739169337608127,Forest
421,-0.2623948117087691,Forest
424,-0.2510442317057373,Forest
427,-0.23986263982333086,Forest
430,-0.22884752015620355,Forest
433,-0.21799639425596004,Forest
436,-0.20730682057349406,Forest
439,-0.19677639390963017,Forest
442,-0.1864027448739434,Forest
445,-0.17618353935163658,Forest
448,-0.16611647797835458,Forest
451,-0.15619929562281756,Forest
454,-0.1464297608771574,Forest
457,-0.13680567555484044,Forest
460,-0.12732487419606758,Forest
463,-0.11798522358053534,Forest
466,-0.10878462224745347,Forest
469,-0.09972100002270681,Forest
472,-0.09079231755305708,Forest
475,-0.08199656584728052,Forest
478,-0.07333176582413606,Forest
481,-0.06479596786706363,Forest
484,-0.05638725138551212,Forest
487,-0.048103724382798696,Forest
490,-0.03994352303040127,Forest
493,-0.03190481124858949,Forest
496,-0.023985780293298925,Forest
499,-0.016184648349155936,Forest
502,-0.00849966012856189,Forest
505,-0.0009290864767457635,Forest
508,0.006528776017302729,Forest
511,0.013875605404107733,Forest
514,0.021113054751275936,Forest
517,0.028242752515443753,Forest
520,0.03526630290868678,Forest
523,0.04218528625947418,Forest
526,0.04900125936824971,Forest
529,0.05571575585771793,Forest
532,0.062330286517915834,Forest
535,0.06884633964614739,Forest
538,0.07526538138185615,Forest
541,0.08158885603651322,Forest
544,0.08781818641859324,Forest
547,0.09395477415371244,Forest
550,0.1,Forest
553,0.10595522415877495,Forest
556,0.11182178658059674,Forest
559,0.11760100726676002,Forest
562,0.12329418656630052,Forest
565,0.12890260546857887,Forest
568,0.13442752589150875,Forest
571,0.13987019096549377,Forest
574,0.14523182531313703,Forest
577,0.15051363532478623,Forest
580,0.1557168094299769,Forest
583,0.16084251836483365,Forest
586,0.1658919154354912,Forest
589,0.17086613677759266,Forest
592,0.1757663016119252,Forest
595,0.1805935124962492,Forest
598,0.18534885557337863,Forest
601,0.19003340081556763,Forest
604,0.19464820226525875,Forest
607,0.19919429827224697,Forest
610,0.20367271172731286,Forest
613,0.2080844502923773,Forest
616,0.21243050662722954,Forest
619,0.21671185861288,Forest
622,0.2209294695715876,Forest
625,0.22508428848361112,Forest
628,0.22917725020073415,Forest
631,0.23320927565661026,Forest
634,0.23718127207397732,Forest
637,0.24109413316878614,Forest
640,0.2449487393512907,Forest
643,0.2487459579241437,Forest
646,0.25248664327754367,Forest
649,0.2561716370814763,Forest
652,0.2598017684750936,Forest
655,0.263377854253274,Forest
658,0.26690069905040414,Forest
661,0.27037109552142563,Forest
664,0.2737898245201852,Forest
667,0.2771576552751305,Forest
670,0.28047534556238946,Forest
673,0.2837436418762734,Forest
676,0.2869632795972411,Forest
679,0.29013498315736286,Forest
682,0.29325946620332033,Forest
685,0.29633743175698035,Forest
688,0.29936957237357775,Forest
691,0.3023565702975433,Forest
694,0.3052990976160113,Forest
697,0.30819781641004235,Forest
700,0.31105337890359414,Forest
703,0.3138664276102746,Forest
706,0.3166375954779106,Forest
709,0.3193675060309631,Forest
712,0.32205677351082357,Forest
715,0.3247060030140203,Forest
718,0.32731579062836813,Forest
721,0.32988672356709037,Forest
724,0.3324193803009444,Forest
727,0.33491433068838017,Forest
730,0.3373721361037604,Forest
733,0.33979334956367246,Forest
736,0.3421785158513596,Forest
739,0.34452817163929883,Forest
742,0.34684284560995515,Forest
745,0.34912305857473724,Forest
748,0.3513693235911818,Forest
751,0.3535821460783939,Forest
754,0.3557620239307687,Forest
757,0.3579094476300194,Forest
760,0.3600249003555379,Forest
763,0.362108858093112,Forest
766,0.3641617897420244,Forest
769,0.36618415722055697,Forest
772,0.3681764155699244,Forest
775,0.3701390130566601,Forest
