two_theta,intensity,sample
10.0,-1.1214340889351542,SampleA
10.175,1.993260948385063,SampleA
10.35,-3.2517222952321254,SampleA
10.525,1.1624369249372652,SampleA
10.7,-0.9568808282845137,SampleA
10.875,0.0785068738733172,SampleA
11.05,-0.5047187678160118,SampleA
11.225,-0.6553570183045884,SampleA
11.4,-0.7155914157499352,SampleA
11.575,3.6739561216604484,SampleA
11.75,1.0259984339023502,SampleA
11.925,-0.8347899444375028,SampleA
12.1,-0.2897418548387194,SampleA
12.275,-2.792363632960162,SampleA
12.45,-0.596635769526718,SampleA
12.625,-4.1781351610990045,SampleA
12.8,1.65545617815663,SampleA
12.975,-2.291010257698268,SampleA
13.15,1.008791018674901,SampleA
13.325,-2.4292869710400478,SampleA
13.5,0.16648663368231514,SampleA
13.675,-1.3733412343643532,SampleA
13.85,1.5131496555026562,SampleA
14.024999999999999,0.3548021604023356,SampleA
14.2,1.9587508355773977,SampleA
14.375,-1.539451879784247,SampleA
14.55,-0.644157185324555,SampleA
14.725,-0.9340006717367508,SampleA
14.899999999999999,-3.2892286708141927,SampleA
15.075,2.6352251996290037,SampleA
15.25,-3.3367497834689344,SampleA
15.425,-2.105843013002588,SampleA
15.6,1.5721924188809844,SampleA
15.774999999999999,1.7582318956924559,SampleA
15.95,1.6026109353755698,SampleA
16.125,1.024890726007523,SampleA
16.3,1.474471208617538,SampleA
16.475,0.09827045188151576,SampleA
16.65,5.5191366335248535,SampleA
16.825,-1.2701254925559782,SampleA
17.0,-1.3527177219470596,SampleA
17.175,-3.0813134484447717,SampleA
17.35,0.7486994708706247,SampleA
17.525,0.9093261688307764,SampleA
17.7,-2.3621404150771603,SampleA
17.875,-1.0461948922540363,SampleA
18.049999999999997,0.7809925719997958,SampleA
18.225,-0.8090167902666103,SampleA
18.4,-0.5339786681808298,SampleA
18.575,-4.702439353498615,SampleA
18.75,3.2775564904938133,SampleA
18.924999999999997,0.85075538500743,SampleA
19.1,0.1793140702989537,SampleA
19.275,1.5568976768765017,SampleA
19.45,0.29796697820776535,SampleA
19.625,2.9574146641756243,SampleA
19.799999999999997,-3.5189920666565144,SampleA
19.975,-0.3971240564624244,SampleA
20.15,-3.4113302620120343,SampleA
20.325,2.8916352113792207,SampleA
20.5,0.4198664978402007,SampleA
20.674999999999997,-0.386643557204457,SampleA
20.85,-0.5557277041318276,SampleA
21.025,-0.7501672715074892,SampleA
21.2,2.7784826425294296,SampleA
21.375,-0.5582249125791879,SampleA
21.549999999999997,-0.48407514268735946,SampleA
21.725,3.2561691650718805,SampleA
21.9,-2.2877034141784187,SampleA
22.075,-1.2314252042464637,SampleA
22.25,-1.3915873079055643,SampleA
22.424999999999997,1.3690019060979546,SampleA
22.6,-3.63495289181465,SampleA
22.775,-2.2227643784607904,SampleA
22.95,1.3726649117941854,SampleA
23.125,0.7674845178570404,SampleA
23.299999999999997,1.4928074976304495,SampleA
23.475,-0.07922831994488172,SampleA
23.65,-2.7803840259934725,SampleA
23.825,2.5269167184999515,SampleA
24.0,-1.2215854956096552,SampleA
24.174999999999997,4.177816941318378,SampleA
24.35,2.1337078398059552,SampleA
24.525,2.870595293887172,SampleA
24.7,6.147304539477927,SampleA
24.875,5.282145998778507,SampleA
25.049999999999997,10.045145324613355,SampleA
25.225,16.182978959796664,SampleA
25.4,18.907344050836308,SampleA
25.575,27.076718934347536,SampleA
25.75,35.97691537153398,SampleA
25.924999999999997,47.11715152523728,SampleA
26.099999999999998,58.303918140270916,SampleA
26.275,68.48737625562339,SampleA
26.45,85.30513414147907,SampleA
26.625,104.65138301682722,SampleA
26.799999999999997,123.5766839003127,SampleA
26.974999999999998,140.82707402714846,SampleA
27.15,152.9745823547488,SampleA
27.325,171.08667264593404,SampleA
27.5,182.1332250938162,SampleA
27.674999999999997,191.15433700774778,SampleA
27.849999999999998,198.48518735021722,SampleA
28.025,201.00204077886895,SampleA
28.2,196.3415768369413,SampleA
28.375,189.87910348690247,SampleA
28.549999999999997,175.8628374540704,SampleA
28.724999999999998,166.3014758359434,SampleA
28.9,151.69612243029948,SampleA
29.075,134.8572302053882,SampleA
29.25,118.38554258145815,SampleA
29.424999999999997,97.68480964448685,SampleA
29.599999999999998,77.84895330131503,SampleA
29.775,69.93100770464011,SampleA
29.95,50.745818711075,SampleA
30.125,38.57079011398139,SampleA
30.299999999999997,31.35308825133439,SampleA
30.474999999999998,20.163798454070307,SampleA
30.65,18.782034078253997,SampleA
30.825,12.064546532223972,SampleA
31.0,7.0162500209923975,SampleA
31.174999999999997,4.636929356646995,SampleA
31.349999999999998,2.6635448174495338,SampleA
31.525,2.8365356687798275,SampleA
31.7,0.7843770274134438,SampleA
31.875,1.6784224918788877,SampleA
32.05,-2.29354633213767,SampleA
32.224999999999994,-1.2886770152340166,SampleA
32.4,-1.4692687784474348,SampleA
32.575,-1.5324782337706402,SampleA
32.75,1.5829160270577938,SampleA
32.925,2.6888541288059358,SampleA
33.099999999999994,2.4042127422762207,SampleA
33.275,-1.2503996554818408,SampleA
33.45,1.7767463929423097,SampleA
33.625,0.8206709061017712,SampleA
33.8,0.2481829021411903,SampleA
33.974999999999994,0.2707389550040578,SampleA
34.15,-4.337416449029895,SampleA
34.325,-0.6230546261543062,SampleA
34.5,-1.5002449930863968,SampleA
34.675,-3.4295806017443136,SampleA
34.849999999999994,-0.985211185553702,SampleA
35.025,-0.7692933331691761,SampleA
