shift,intensity,sample
400.0,-2.3865417998623695,Material1
404.666,-4.586199003257343,Material1
409.332,2.466552269937044,Material1
413.998,-0.45375719074203397,Material1
418.664,-0.5800199640626622,Material1
423.33,-0.2960678920415207,Material1
427.996,-2.3958393753944547,Material1
432.66200000000003,1.0995537641070223,Material1
437.328,0.829318926187848,Material1
441.994,1.133238215978028,Material1
446.66,-2.3441719375409362,Material1
451.326,0.6226809644485758,Material1
455.992,-0.580379174755237,Material1
460.658,0.7541090165697875,Material1
465.324,0.857698452514023,Material1
469.99,4.90273355521843,Material1
474.656,6.069819997175342,Material1
479.322,8.968607240531941,Material1
483.988,16.80205232454597,Material1
488.654,26.4725325674697,Material1
493.32,35.42214178130271,Material1
497.986,50.30239681088641,Material1
502.65200000000004,57.0316793520622,Material1
507.318,71.68769931241359,Material1
511.98400000000004,81.94935689477617,Material1
516.65,88.57669360600437,Material1
521.316,89.6431839372922,Material1
525.982,87.64529584157584,Material1
530.648,77.32402867619062,Material1
535.3140000000001,65.32992377785301,Material1
539.98,55.8206037840779,Material1
544.646,43.12693362304468,Material1
549.312,30.10166196715848,Material1
553.9780000000001,21.9872512379058,Material1
558.644,12.691681918690017,Material1
563.31,10.443510436818004,Material1
567.976,5.1793705629455475,Material1
572.642,1.9109511372561068,Material1
577.308,-0.14926170982190534,Material1
581.974,2.996005231405364,Material1
586.64,1.03200357490377,Material1
591.306,-1.8251311716849097,Material1
595.972,-3.105390946042192,Material1
600.638,1.2716179339237523,Material1
605.3040000000001,0.24630381940362545,Material1
609.97,2.2724757988458175,Material1
614.636,1.3501886596676775,Material1
619.302,2.012159196907425,Material1
623.9680000000001,2.111634100871737,Material1
628.634,1.2634088180358711,Material1
633.3,0.09124746506116012,Material1
637.966,2.087510713604967,Material1
642.6320000000001,1.6998550804477592,Material1
647.298,2.269247717609368,Material1
651.964,-0.3226745930253078,Material1
656.63,1.3371839348745633,Material1
661.296,0.4280932928620464,Material1
665.962,-1.20614924503739,Material1
670.628,-1.3251239759545237,Material1
675.2940000000001,0.24252425451552398,Material1
679.96,-0.0649105868358645,Material1
684.626,-1.0330692044515026,Material1
689.292,-2.393385473252768,Material1
693.9580000000001,-0.718629128281217,Material1
698.624,-1.997577040527454,Material1
703.29,-0.6324418139113616,Material1
707.956,2.3091237208829765,Material1
712.6220000000001,-0.11177291781757578,Material1
717.288,-0.7164589464448009,Material1
721.954,-1.270151891404591,Material1
726.62,1.5243643991581708,Material1
731.2860000000001,-1.021455672429125,Material1
735.952,-0.018103908964646063,Material1
740.618,0.5278621307957596,Material1
745.2840000000001,0.7061895432003318,Material1
749.95,2.2062124931863267,Material1
754.616,-0.22365399731579272,Material1
759.282,1.66263277096464,Material1
763.9480000000001,0.5241838814464914,Material1
768.614,-0.18806147963338227,Material1
773.28,-1.1810318332734946,Material1
777.946,-1.8706801340570858,Material1
782.6120000000001,1.2104889969954633,Material1
787.278,-0.7379359445628291,Material1
791.944,0.9719138117720825,Material1
796.61,0.7825821595477458,Material1
801.2760000000001,1.1023806485249017,Material1
805.942,-0.9917231663003572,Material1
810.6080000000001,1.7735372600646335,Material1
815.2740000000001,-0.22639544256710104,Material1
819.94,-0.8135023951123952,Material1
824.606,-3.1428573876319064,Material1
829.272,-2.0132056416760564,Material1
833.9380000000001,0.19461657900067397,Material1
838.604,0.8499997152496799,Material1
843.27,0.5247131680755737,Material1
847.936,1.8821858724356213,Material1
852.6020000000001,-0.39852979689733614,Material1
857.268,-0.09981884579742706,Material1
861.934,-0.4154211276091432,Material1
866.6,1.129810676250811,Material1
871.2660000000001,-0.6002949564520667,Material1
875.932,-2.4726394936234666,Material1
880.598,0.1566127646259954,Material1
885.264,2.262667043209551,Material1
889.9300000000001,0.26235984570683113,Material1
894.596,-0.7824945012176847,Material1
899.2620000000001,1.0038519430407762,Material1
903.9280000000001,4.1576587306850925,Material1
908.594,-0.10466145708483657,Material1
913.26,-0.0868859016435597,Material1
917.926,0.5296426581375282,Material1
922.5920000000001,-0.07159687136884893,Material1
927.258,1.4826944713554477,Material1
931.9240000000001,4.5704477315020835,Material1
936.59,-0.0013841346020058922,Material1
941.2560000000001,3.4376647874092425,Material1
945.922,-1.2587407072947474,Material1
950.5880000000001,0.209644750652669,Material1
955.254,1.3557519684875876,Material1
959.9200000000001,-0.6372391315223199,Material1
964.586,0.5082503332893408,Material1
969.2520000000001,-0.22926112354710854,Material1
973.918,-1.8047258657564884,Material1
978.5840000000001,-1.3313541296439557,Material1
983.25,-2.739158201406314,Material1
987.916,-0.605449622868067,Material1
992.582,-1.4366839700819196,Material1
997.248,-1.4186457896832363,Material1
1001.9140000000001,-0.6993979695011083,Material1
1006.58,-0.7813910910354755,Material1
1011.2460000000001,1.8903822961588992,Material1
1015.912,-0.7570806557721317,Material1
1020.5780000000001,0.2503671967578025,Material1
1025.2440000000001,-1.1379765308435505,Material1
1029.91,-1.618585420616771,Material1
1034.576,-0.4060665395836959,Material1
1039.2420000000002,-0.9231846014135447,Material1
1043.908,1.481255747709823,Material1
1048.574,1.7478405931600456,Material1
1053.24,2.643842003371498,Material1
1057.906,-1.9555161505487213,Material1
1062.5720000000001,-2.9722204174974762,Material1
1067.238,1.397154386553463,Material1
1071.904,0.2754187686614175,Material1
1076.5700000000002,-2.1746697390128458,Material1
1081.236,-0.8078324665039234,Material1
1085.902,-0.3486423560990306,Material1
1090.5680000000002,1.6854632011322206,Material1
1095.234,0.7650231216071975,Material1
1099.9,-0.18262056643954266,Material1
1104.566,-0.9393772534420828,Material1
1109.232,0.44862911405529265,Material1
1113.8980000000001,-0.7116365969785674,Material1
