date,return
2024-01-01,0.005066105755585516
2024-01-02,0.011337980453215917
2024-01-03,-0.00940653583811077
2024-01-04,-0.015286395582942452
2024-01-05,0.0078081437044981074
2024-01-06,-0.0024947437851048893
2024-01-07,-0.011279043994774276
2024-01-08,-0.013366537025267352
2024-01-09,0.013611471364534727
2024-01-10,-0.01690022206485928
2024-01-11,0.015265878760549662
2024-01-12,-0.005929908142868276
2024-01-13,0.006724444484904555
2024-01-14,0.002959079831208761
2024-01-15,-0.006710212564067638
2024-01-16,0.0022316568561740278
2024-01-17,0.00011836620674319994
2024-01-18,-0.016527623194874278
2024-01-19,0.0062294995624597085
2024-01-20,-0.008031566515837417
2024-01-21,0.014545062546312632
2024-01-22,-0.01643723404239349
2024-01-23,-0.012388654557054495
2024-01-24,-0.013922213571857507
2024-01-25,-0.00037363179467322135
2024-01-26,0.008679489548486912
2024-01-27,0.008618007449156128
2024-01-28,0.01339634369695838
2024-01-29,0.0011424877361301002
2024-01-30,0.007853630187852121
2024-01-31,0.00189377057292633
2024-02-01,0.002417404010442199
2024-02-02,0.0030121504642644866
2024-02-03,-0.007749762666602508
2024-02-04,-0.030171606355814454
2024-02-05,0.0033249935447629583
2024-02-06,-0.01867276423238468
2024-02-07,0.010725743611784331
2024-02-08,0.0028709604520389177
2024-02-09,0.008120044800348851
2024-02-10,0.017863105760147033
2024-02-11,0.0037152631152359145
2024-02-12,-0.0016961493023494286
2024-02-13,0.012957629855223288
2024-02-14,-0.0013108120988432653
2024-02-15,-0.0018132179847597401
2024-02-16,-0.0025047660979699835
2024-02-17,-0.016699941393663018
2024-02-18,0.02052493936604385
2024-02-19,0.007755971191062038
2024-02-20,-0.002787526391150829
2024-02-21,0.008242778072109307
2024-02-22,0.023450443940883716
2024-02-23,0.010189649036948972
2024-02-24,0.012394058216921869
2024-02-25,-0.008515534255820615
2024-02-26,0.008073459522863341
2024-02-27,-0.006116307220838687
2024-02-28,0.010787264461487613
2024-02-29,-0.01575288302037349
